#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_Cu            v*n_Cu            mu_Cu            vth_Cu            v_Cu            n_Cu            sec.em.flux_Cu            EnergySrc_Cu            PartSrc_Cu            phi_Cu+           v*n_Cu+           mu_Cu+           vth_Cu+           v_Cu+           n_Cu+           sec.em.flux_Cu+           EnergySrc_Cu+           PartSrc_Cu+           
(12,33)	6.279E+005    260.5         -24.22        2.909E+006    1.667E+007    3.765E-005    2.554E-018    -1.391E+020   1.506E+020    -14.53        2.182E+006    1.022E+007    1.474E+013    0             367.5         2.897E+020    6.847E+020    6.847E+020    0.02541       1.294E+004    2.243E+004    3.053E+016    1.369E+020    0             0             9.496E+018    9.496E+018    0             577.2         8.926         1.064E+018    0             0             1.289E+019    3.495E+018    3.495E+018    0.05964       6813          4.085E+004    8.556E+013    3.495E+017    0             0             
(13,33)	6.359E+005    263.6         -24.26        2.918E+006    1.688E+007    3.857E-005    2.57E-018     -1.435E+020   1.553E+020    -14.55        2.189E+006    1.035E+007    1.501E+013    0             379.1         2.988E+020    7.065E+020    7.065E+020    0.02527       1.302E+004    2.258E+004    3.129E+016    1.413E+020    0             0             9.852E+018    9.852E+018    0             577.2         8.926         1.104E+018    0             0             1.344E+019    3.685E+018    3.685E+018    0.05897       6821          4.09E+004     9.01E+013     3.685E+017    0             0             
(14,33)	6.44E+005     266.8         -24.29        2.927E+006    1.711E+007    3.954E-005    2.587E-018    -1.481E+020   1.603E+020    -14.58        2.196E+006    1.048E+007    1.529E+013    0             391.2         3.084E+020    7.294E+020    7.294E+020    0.02512       1.311E+004    2.273E+004    3.209E+016    1.459E+020    0             0             1.023E+019    1.023E+019    0             577.2         8.926         1.146E+018    0             0             1.402E+019    3.89E+018     3.89E+018     0.05828       6828          4.094E+004    9.5E+013      3.89E+017     0             0             
(15,33)	6.523E+005    270           -24.33        2.937E+006    1.734E+007    4.054E-005    2.603E-018    -1.53E+020    1.654E+020    -14.6         2.203E+006    1.062E+007    1.557E+013    0             404           3.184E+020    7.535E+020    7.535E+020    0.02497       1.32E+004     2.288E+004    3.293E+016    1.507E+020    0             0             1.063E+019    1.063E+019    0             577.2         8.926         1.191E+018    0             0             1.464E+019    4.109E+018    4.109E+018    0.05758       6832          4.097E+004    1.003E+014    4.109E+017    0             0             
(16,33)	6.607E+005    273.2         -24.36        2.946E+006    1.757E+007    4.157E-005    2.62E-018     -1.579E+020   1.708E+020    -14.62        2.21E+006     1.076E+007    1.587E+013    0             417.1         3.287E+020    7.781E+020    7.781E+020    0.02481       1.328E+004    2.303E+004    3.379E+016    1.556E+020    0             0             1.104E+019    1.104E+019    0             577.2         8.926         1.237E+018    0             0             1.529E+019    4.341E+018    4.341E+018    0.05687       6835          4.099E+004    1.059E+014    4.341E+017    0             0             
(17,33)	6.691E+005    276.5         -24.4         2.956E+006    1.78E+007     4.262E-005    2.637E-018    -1.63E+020    1.762E+020    -14.64        2.217E+006    1.09E+007     1.616E+013    0             430.5         3.392E+020    8.034E+020    8.034E+020    0.02466       1.336E+004    2.318E+004    3.466E+016    1.607E+020    0             0             1.147E+019    1.147E+019    0             577.2         8.926         1.285E+018    0             0             1.597E+019    4.585E+018    4.585E+018    0.05615       6835          4.099E+004    1.119E+014    4.585E+017    0             0             
(18,33)	6.776E+005    279.8         -24.45        2.965E+006    1.805E+007    4.367E-005    2.654E-018    -1.682E+020   1.818E+020    -14.67        2.224E+006    1.105E+007    1.645E+013    0             444.2         3.5E+020      8.294E+020    8.294E+020    0.0245        1.344E+004    2.332E+004    3.556E+016    1.659E+020    0             0             1.192E+019    1.192E+019    0             577.2         8.926         1.336E+018    0             0             1.667E+019    4.844E+018    4.844E+018    0.05543       6833          4.098E+004    1.182E+014    4.844E+017    0             0             
(19,33)	6.863E+005    283.1         -24.5         2.975E+006    1.83E+007     4.475E-005    2.671E-018    -1.736E+020   1.877E+020    -14.7         2.231E+006    1.12E+007     1.675E+013    0             458.5         3.613E+020    8.564E+020    8.564E+020    0.02434       1.353E+004    2.347E+004    3.649E+016    1.713E+020    0             0             1.239E+019    1.239E+019    0             577.2         8.926         1.388E+018    0             0             1.741E+019    5.115E+018    5.115E+018    0.05469       6829          4.095E+004    1.249E+014    5.115E+017    0             0             
(20,33)	6.951E+005    286.5         -24.54        2.985E+006    1.855E+007    4.585E-005    2.689E-018    -1.791E+020   1.937E+020    -14.73        2.238E+006    1.136E+007    1.706E+013    0             473.2         3.728E+020    8.841E+020    8.841E+020    0.02418       1.361E+004    2.361E+004    3.745E+016    1.768E+020    0             0             1.288E+019    1.288E+019    0             577.2         8.926         1.443E+018    0             0             1.819E+019    5.402E+018    5.402E+018    0.05395       6823          4.091E+004    1.32E+014     5.402E+017    0             0             
(21,33)	7.041E+005    290           -24.59        2.994E+006    1.881E+007    4.698E-005    2.706E-018    -1.848E+020   1.999E+020    -14.76        2.246E+006    1.151E+007    1.736E+013    0             488.3         3.847E+020    9.126E+020    9.126E+020    0.02401       1.368E+004    2.375E+004    3.843E+016    1.825E+020    0             0             1.339E+019    1.339E+019    0             577.2         8.926         1.5E+018      0             0             1.899E+019    5.704E+018    5.704E+018    0.05319       6813          4.086E+004    1.396E+014    5.704E+017    0             0             
