#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_He2+          v*n_He2+          mu_He2+          vth_He2+          v_He2+          n_He2+          sec.em.flux_He2+          EnergySrc_He2+          PartSrc_He2+          phi_He*           v*n_He*           mu_He*           vth_He*           v_He*           n_He*           sec.em.flux_He*           EnergySrc_He*           PartSrc_He*           phi_e*            v*n_e*            mu_e*            vth_e*            v_e*            n_e*            sec.em.flux_e*            EnergySrc_e*            PartSrc_e*            
(16,31)	3.218E+005    12.1          -0.5433       1.824E+006    1.087E+006    0.001104      1.004E-018    3.427E+020    8.657E+020    -0.326        1.368E+006    7.888E+005    1.098E+015    0             568.2         5.229E+020    2.83E+020     2.83E+020     0.003744      1587          1998          1.416E+017    5.66E+019     0             0             6.113E+019    6.113E+019    0.007984      1654          3396          1.8E+016      1.223E+019    0             0             6.043E+018    6.043E+018    0             1263          631.6         9.566E+015    0             0             0             1.83E+019     1.83E+019     -0.3417       2.3E+006      1.26E+006     1.453E+013    1.83E+018     0             0             
(54,31)	2.713E+005    38.97         -0.5799       2.296E+006    1.305E+006    0.001685      1.591E-018    2.342E+020    1.011E+021    -0.3479       1.722E+006    9.552E+005    1.059E+015    0             840.9         7.772E+020    4.171E+020    4.171E+020    0.003853      1514          1802          2.315E+017    8.343E+019    0             0             2.272E+019    2.272E+019    0.008012      1478          2912          7.799E+015    4.543E+018    0             0             6.757E+019    6.757E+019    0             1263          631.6         1.07E+017     0             0             0             9.833E+017    9.833E+017    -0.3417       2.3E+006      1.243E+006    7.913E+011    9.833E+016    0             0             
(16,32)	3.197E+005    12.02         -0.5429       1.812E+006    1.08E+006     0.001035      9.912E-019    3.297E+020    8.171E+020    -0.3258       1.359E+006    7.837E+005    1.043E+015    0             529.2         4.874E+020    2.548E+020    2.548E+020    0.00375       1585          1991          1.28E+017     5.097E+019    0             0             6.5E+019      6.5E+019      0.007996      1649          3381          1.923E+016    1.3E+019      0             0             4.341E+018    4.341E+018    0             1263          631.6         6.873E+015    0             0             0             1.854E+019    1.854E+019    -0.3417       2.3E+006      1.259E+006    1.472E+013    1.854E+018    0             0             
(54,32)	2.953E+005    33.6          -0.5731       2.232E+006    1.285E+006    0.00154       1.504E-018    2.343E+020    9.611E+020    -0.3439       1.674E+006    9.387E+005    1.024E+015    0             788.6         7.268E+020    3.998E+020    3.998E+020    0.003805      1549          1898          2.106E+017    7.996E+019    0             0             3.426E+019    3.426E+019    0.008041      1567          3158          1.085E+016    6.851E+018    0             0             6.632E+019    6.632E+019    0             1263          631.6         1.05E+017     0             0             0             1.406E+018    1.406E+018    -0.3417       2.3E+006      1.251E+006    1.124E+012    1.406E+017    0             0             
(16,33)	3.167E+005    11.91         -0.5424       1.796E+006    1.07E+006     0.0009312     9.739E-019    2.925E+020    7.421E+020    -0.3255       1.347E+006    7.767E+005    9.555E+014    0             488           4.496E+020    2.266E+020    2.266E+020    0.003757      1580          1980          1.144E+017    4.532E+019    0             0             6.756E+019    6.756E+019    0.008009      1640          3356          2.013E+016    1.351E+019    0             0             3.086E+018    3.086E+018    0             1263          631.6         4.886E+015    0             0             0             1.792E+019    1.792E+019    -0.3417       2.3E+006      1.258E+006    1.424E+013    1.792E+018    0             0             
(54,33)	3.145E+005    28.82         -0.566        2.164E+006    1.26E+006     0.001352      1.413E-018    2.17E+020     8.786E+020    -0.3396       1.623E+006    9.182E+005    9.569E+014    0             719.6         6.617E+020    3.652E+020    3.652E+020    0.003766      1578          1973          1.851E+017    7.303E+019    0             0             4.732E+019    4.732E+019    0.008024      1634          3341          1.416E+016    9.463E+018    0             0             6.197E+019    6.197E+019    0             1263          631.6         9.812E+016    0             0             0             1.863E+018    1.863E+018    -0.3417       2.3E+006      1.257E+006    1.482E+012    1.863E+017    0             0             
(16,34)	3.08E+005     11.58         -0.5419       1.78E+006     1.057E+006    0.0008232     9.567E-019    2.511E+020    6.605E+020    -0.3252       1.335E+006    7.678E+005    8.603E+014    0             443.8         4.094E+020    1.959E+020    1.959E+020    0.003775      1567          1946          1.007E+017    3.919E+019    0             0             6.808E+019    6.808E+019    0.008041      1613          3283          2.074E+016    1.362E+019    0             0             2.263E+018    2.263E+018    0             1263          631.6         3.583E+015    0             0             0             1.685E+019    1.685E+019    -0.3417       2.3E+006      1.255E+006    1.342E+013    1.685E+018    0             0             
(54,34)	3.293E+005    24.87         -0.56         2.097E+006    1.233E+006    0.001149      1.327E-018    1.888E+020    7.772E+020    -0.336        1.573E+006    8.97E+005     8.665E+014    0             641.1         5.884E+020    3.19E+020     3.19E+020     0.003735      1600          2030          1.571E+017    6.379E+019    0             0             6.065E+019    6.065E+019    0.007969      1680          3464          1.751E+016    1.213E+019    0             0             5.57E+019     5.57E+019     0             1263          631.6         8.818E+016    0             0             0             2.293E+018    2.293E+018    -0.3417       2.3E+006      1.263E+006    1.816E+012    2.293E+017    0             0             
(16,35)	2.944E+005    11.07         -0.542        1.765E+006    1.042E+006    0.0007212     9.407E-019    2.127E+020    5.811E+020    -0.3252       1.324E+006    7.578E+005    7.668E+014    0             398.7         3.684E+020    1.65E+020     1.65E+020     0.003802      1547          1893          8.717E+016    3.301E+019    0             0             6.67E+019     6.67E+019     0.008042      1564          3150          2.118E+016    1.334E+019    0             0             1.804E+018    1.804E+018    0             1263          631.6         2.857E+015    0             0             0             1.553E+019    1.553E+019    -0.3417       2.3E+006      1.251E+006    1.242E+013    1.553E+018    0             0             
(54,35)	3.413E+005    21.83         -0.5552       2.037E+006    1.208E+006    0.0009507     1.253E-018    1.566E+020    6.674E+020    -0.3331       1.528E+006    8.776E+005    7.605E+014    0             557.3         5.108E+020    2.676E+020    2.676E+020    0.003712      1618          2076          1.289E+017    5.352E+019    0             0             7.144E+019    7.144E+019    0.007924      1717          3563          2.005E+016    1.429E+019    0             0             4.848E+019    4.848E+019    0             1263          631.6         7.675E+016    0             0             0             2.638E+018    2.638E+018    -0.3417       2.3E+006      1.267E+006    2.082E+012    2.638E+017    0             0             
