#(i,j)	E             Er            mu_elen       vth_elen      v_elen        n_elen        epsilon       phi_e             v*n_e             mu_e             vth_e             v_e             n_e             sec.em.flux_e             EnergySrc_e             PartSrc_e             phi_He+           v*n_He+           mu_He+           vth_He+           v_He+           n_He+           sec.em.flux_He+           EnergySrc_He+           PartSrc_He+           phi_He2+          v*n_He2+          mu_He2+          vth_He2+          v_He2+          n_He2+          sec.em.flux_He2+          EnergySrc_He2+          PartSrc_He2+          phi_He*           v*n_He*           mu_He*           vth_He*           v_He*           n_He*           sec.em.flux_He*           EnergySrc_He*           PartSrc_He*           phi_e*            v*n_e*            mu_e*            vth_e*            v_e*            n_e*            sec.em.flux_e*            EnergySrc_e*            PartSrc_e*            
(16,31)	1.518E+005    5.708         -0.5573       1.51E+006     8.395E+005    1.093E-011    6.879E-019    1.646E+012    9.805E+012    -0.3344       1.132E+006    6.169E+005    1.589E+007    0             5.092E-006    8.159E+012    6.214E+011    6.214E+011    0.004084      1357          1298          4.786E+008    1.243E+011    0             0             1.258E+012    1.258E+012    0.007612      1091          1701          7.396E+008    2.516E+011    0             0             4.075E+016    4.075E+016    0             1263          631.6         6.451E+013    0             0             0             1.999E+013    1.999E+013    -0.3417       2.3E+006      1.202E+006    1.663E+007    1.999E+012    0             0             
(54,31)	8.581E+004    3.09          -0.5569       1.516E+006    8.058E+005    2.935E-011    6.937E-019    2.587E+012    2.526E+013    -0.3342       1.137E+006    5.972E+005    4.23E+007     0             2.049E-005    2.268E+013    9.419E+011    9.419E+011    0.004197      1296          1008          9.345E+008    1.884E+011    0             0             5.08E+012     5.08E+012     0.00715       953.2         1090          4.66E+009     1.016E+012    0             0             4.087E+016    4.087E+016    0             1263          631.6         6.47E+013     0             0             0             1.95E+013     1.95E+013     -0.3417       2.3E+006      1.179E+006    1.653E+007    1.95E+012     0             0             
(16,32)	1.215E+005    4.569         -0.5568       1.518E+006    8.267E+005    1.428E-011    6.955E-019    1.849E+012    1.252E+013    -0.3341       1.139E+006    6.099E+005    2.054E+007    0             7.387E-006    1.068E+013    7.155E+011    7.155E+011    0.004141      1326          1166          6.136E+008    1.431E+011    0             0             1.756E+012    1.756E+012    0.00734       1016          1400          1.254E+009    3.512E+011    0             0             4.484E+016    4.484E+016    0             1263          631.6         7.1E+013      0             0             0             2.198E+013    2.198E+013    -0.3417       2.3E+006      1.192E+006    1.845E+007    2.198E+012    0             0             
(54,32)	6.441E+004    2.367         -0.5549       1.552E+006    8.118E+005    5.924E-011    7.271E-019    2.276E+012    4.917E+013    -0.333        1.164E+006    6.035E+005    8.148E+007    0             4.546E-005    4.689E+013    1.321E+012    1.321E+012    0.004257      1282          915.2         1.443E+009    2.642E+011    0             0             1.018E+013    1.018E+013    0.007053      926.6         917.6         1.109E+010    2.036E+012    0             0             4.497E+016    4.497E+016    0             1263          631.6         7.12E+013     0             0             0             2.192E+013    2.192E+013    -0.3417       2.3E+006      1.172E+006    1.87E+007     2.192E+012    0             0             
(16,33)	9.761E+004    3.67          -0.5563       1.527E+006    8.179E+005    1.797E-011    7.039E-019    2.027E+012    1.546E+013    -0.3338       1.145E+006    6.053E+005    2.554E+007    0             1.002E-005    1.343E+013    7.841E+011    7.841E+011    0.004172      1304          1059          7.401E+008    1.568E+011    0             0             2.242E+012    2.242E+012    0.007203      971.2         1189          1.886E+009    4.484E+011    0             0             4.784E+016    4.784E+016    0             1263          631.6         7.574E+013    0             0             0             2.34E+013     2.34E+013     -0.3417       2.3E+006      1.183E+006    1.978E+007    2.34E+012     0             0             
(54,33)	4.829E+004    1.818         -0.5539       1.569E+006    8.114E+005    1.044E-010    7.432E-019    1.111E+012    8.489E+013    -0.3324       1.177E+006    6.045E+005    1.404E+008    0             8.368E-005    8.378E+013    1.516E+012    1.516E+012    0.004267      1274          843.1         1.798E+009    3.031E+011    0             0             1.698E+013    1.698E+013    0.007043      912.1         796.1         2.133E+010    3.397E+012    0             0             4.798E+016    4.798E+016    0             1263          631.6         7.596E+013    0             0             0             2.383E+013    2.383E+013    -0.3417       2.3E+006      1.167E+006    2.043E+007    2.383E+012    0             0             
(16,34)	7.849E+004    2.951         -0.5558       1.536E+006    8.115E+005    2.169E-011    7.118E-019    2.19E+012     1.834E+013    -0.3335       1.152E+006    6.021E+005    3.047E+007    0             1.272E-005    1.615E+013    8.156E+011    8.156E+011    0.004212      1291          975.9         8.357E+008    1.631E+011    0             0             2.659E+012    2.659E+012    0.007103      943           1029          2.584E+009    5.317E+011    0             0             4.967E+016    4.967E+016    0             1263          631.6         7.864E+013    0             0             0             2.419E+013    2.419E+013    -0.3417       2.3E+006      1.177E+006    2.055E+007    2.419E+012    0             0             
(54,34)	3.69E+004     1.417         -0.5535       1.577E+006    8.091E+005    1.56E-010     7.509E-019    -2.392E+011   1.254E+014    -0.3321       1.183E+006    6.037E+005    2.077E+008    0             0.0001271     1.256E+014    1.513E+012    1.513E+012    0.0043        1270          793.5         1.906E+009    3.025E+011    0             0             2.377E+013    2.377E+013    0.007011      904.2         710.9         3.343E+010    4.753E+012    0             0             4.982E+016    4.982E+016    0             1263          631.6         7.887E+013    0             0             0             2.509E+013    2.509E+013    -0.3417       2.3E+006      1.163E+006    2.158E+007    2.509E+012    0             0             
(16,35)	6.301E+004    2.369         -0.5554       1.543E+006    8.067E+005    2.503E-011    7.191E-019    2.349E+012    2.088E+013    -0.3332       1.158E+006    5.998E+005    3.481E+007    0             1.517E-005    1.853E+013    8.027E+011    8.027E+011    0.004257      1281          908.9         8.831E+008    1.605E+011    0             0             2.956E+012    2.956E+012    0.007053      925.2         907           3.259E+009    5.911E+011    0             0             5.029E+016    5.029E+016    0             1263          631.6         7.961E+013    0             0             0             2.43E+013     2.43E+013     -0.3417       2.3E+006      1.172E+006    2.075E+007    2.43E+012     0             0             
(54,35)	2.912E+004    1.136         -0.5532       1.582E+006    8.069E+005    2.046E-010    7.551E-019    -1.22E+012    1.633E+014    -0.3319       1.186E+006    6.028E+005    2.709E+008    0             0.0001674     1.645E+014    1.363E+012    1.363E+012    0.004309      1267          759.1         1.795E+009    2.725E+011    0             0             2.935E+013    2.935E+013    0.007011      900.1         654.2         4.487E+010    5.871E+012    0             0             5.043E+016    5.043E+016    0             1263          631.6         7.984E+013    0             0             0             2.564E+013    2.564E+013    -0.3417       2.3E+006      1.16E+006     2.21E+007     2.564E+012    0             0             
